id,chiffre_cles,mots_cles,description,description_sup,source
chiffre_1,888 GWh,capacité de production des sites de méthanisation en 2017,22 % de l’objectif fixé par le SCRAE pour 2030,,Plaquette du ROSE
chiffre_2,76 GWh,production d’électricité photovoltaïque en 2017,"3,2 % de l’objectif fixé par le SCRAE pour 2030",890 GWh pour un objectif SRCAE 2030 de 2000 GWh.,DRIEE
chiffre_3,92 GWh,production d’électricité éolienne en 2017,"3,4 % de l’objectif fixé par le SCRAE pour 2030",92 GWh pour un objectif SRCAE 2030 à 2700 GWh.,Plaquette du ROSE
