id,chiffre_cles,mots_cles,description,description_sup,source
chiffre_1,43 millions, de déplacements effectués chaque jour en Île-de-France,"3,8 par habitant, 18 km en moyenne, près de 70% en dehors de Paris",,TDB du observatoire de mobilité
chiffre_2,+9%,d’usage de modes actifs en Île-de-France en 2018 par rapport au 2010,+14% d’usage de transports collectifs en 2018 par rapport au 2010,,TDB du observatoire de mobilité
chiffre_3,-12%,d'énergie consommée par le secteur des transports en 2017 par rapport à 2005,"dont -2,7% entre 2015 et 2017",,Plaquette du ROSE
