id,chiffre_cles,mots_cles,description,description_sup,source,
chiffre_1,92%,énergie consommée importée ,seulement 8% de l'énergie consommée est produite localement,,ROSE,
chiffre_2,45%,part des consommations liée aux besoins en chaleur des bâtiments,"chauffage, eau chaude sanitaire",,DRIEE Feuille de route,
chiffre_3,35%,part du gaz dans les consommations,"30 % d’électricité, 28% de produits pétroliers",,Source: ROSE,Plaquette du ROSE
